Group,Cities,2024 (MW),2025 (MW)
Grupa Łomża,"Jantar, Jeżewo, Łomża, Łomża 2, Wizna, Zambrów",0,10
Grupa Wysokie Mazowieckie,"Ciechanowiec, Czyżew, Kity*, Racibory*, Wysokie Mazowieckie",5,15
Grupa Małkinia,"Kietlanka, Małkinia, Węgrów, Zawady*",5,5
Grupa Otwock,"Józefów sekcja 1, Otwock, Sulejówek",5,5
Grupa Babice,Babice,65,65
Grupa Ołtarzew,"Błonie, Błonie Pass, Ołtarzew, Ożarów Mazowiecki, Piorunów",20,20
Grupa Karczew,"Józefów sekcja 2, Karczew, Świerk sekcja 2, Zakręt",10,10
Grupa Mszczonów,"Huta Zawadzka, Kaleń, Mszczonów",5,5
Grupa Poddębice,"Poddębice 1, Poddębice 2, Szadek",0,10
Grupa Piotrków,"Bronisławów, Piotrków, Piotrków Wschód, Pioma, Sulejów, Wolbórz",5,5
Grupa Kielce Piaski,"Chemar*, Kielce Piaski, KZWM Kielce, EC Kielce, Kielce Północ, Występa",0,5
Grupa Bogdanka,"Biskupice, Bogdanka*, Nadrybie*, Stefanów*",5,5
Grupa Biłgoraj,"Biłgoraj, Biłgoraj Południe, Sieniawa, Tarnogród",5,5
Grupa Dęblin,"Dęblin, Ryki, Sobolew",5,5
Grupa Łuków,"Kock, Łuków, Radzyń Podlaski, Stoczek Łukowski",0,5
Grupa Puławy,"Bronowice, Kazimierz, Klementowice, Nałęczów, Puławy Kępa, Puławy Rudy",0,5
Grupa Chełm,"Chełm, Chełm Kolejowa, Chełm Południe, Chełm Północ, Cementownia Chełm 1*",5,10
Grupa Zamość,"Dzwola, Hrubieszów, Hrubieszów Południe, Józefów, Krasnobród",0,5
Grupa Stalowa Wola,"Boguchwała, Budy Głogowskie*, Głogów, Jasionka, Kolbuszowa",0,5
Grupa Opatów,"Klimontów, Opatów, Siarka Osiek*",5,5
